Timestamp,Instance,Ram size,Cpu size,Storage,Db size,Rows count,Avg Obj size,First stage count,Avg response time,Docs / ms,allowDiskUse,Cpu user,Cpu nice,Cpu system,Cpu iowait,Mem free,Mem used,Mem usage,other response times,,,,
1548445064752,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,1979793,23858,83,TRUE,,,,,,,23742,23898,23640,24012,23998,
1548445174911,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,1812227,21906,83,TRUE,,,,,,,21661,22214,21620,22379,21658,
1548445277842,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,1660064,20472,81,TRUE,,,,,,,19930,20693,20441,20746,20549,
1548445370492,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,1491906,18429,81,TRUE,,,,,,,18368,18355,19096,18430,17898,
1548445451547,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,1328906,16122,82,TRUE,,,,,,,16207,16023,15952,16092,16337,
1548445522542,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,1161258,14026,83,TRUE,,,,,,,13581,14092,14042,14274,14141,
1548445583126,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,998201,12047,83,TRUE,,,,,,,12070,12088,12086,11913,12076,
1548445634026,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,830723,10120,82,TRUE,,,,,,,10175,10178,9665,10288,10296,
1548445673563,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,662336,7863,84,TRUE,,,,,,,7677,8176,7647,8085,7731,
1548445703898,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,499673,6033,83,TRUE,,,,,,,6361,5836,6326,5843,5800,
1548445723656,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,331334,3927,84,TRUE,,,,,,,4276,3720,3761,3755,4121,
1548445731578,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,167841,1982,107,TRUE,,,,,,,1853,1547,1584,1471,1409,
1548447071123,t3.large,8,2,nvme1n1p1,905851713,1980001,457,1979966,9276,213,TRUE,,,,,,,9250,9280,8956,9411,9481,
1548447114476,t3.large,8,2,nvme1n1p1,905851713,1980001,457,1812325,8524,213,TRUE,,,,,,,8424,8719,8366,8730,8381,
1548447154779,t3.large,8,2,nvme1n1p1,905851713,1980001,457,1660393,7958,209,TRUE,,,,,,,8398,8253,7958,8154,7025,
1548447188609,t3.large,8,2,nvme1n1p1,905851713,1980001,457,1492743,6673,224,TRUE,,,,,,,6690,6545,6394,6706,7032,
1548447218690,t3.large,8,2,nvme1n1p1,905851713,1980001,457,1329473,5933,224,TRUE,,,,,,,6234,5712,6095,5696,5930,
1548447244512,t3.large,8,2,nvme1n1p1,905851713,1980001,457,1161450,5092,228,TRUE,,,,,,,5286,4801,4847,5206,5318,
1548447267283,t3.large,8,2,nvme1n1p1,905851713,1980001,457,998623,4491,222,TRUE,,,,,,,4573,4712,4212,4263,4695,
1548447285257,t3.large,8,2,nvme1n1p1,905851713,1980001,457,830430,3535,235,TRUE,,,,,,,3449,3491,3475,3561,3700,
1548447299949,t3.large,8,2,nvme1n1p1,905851713,1980001,457,661711,2896,228,TRUE,,,,,,,2786,2808,2807,3127,2953,
1548447311822,t3.large,8,2,nvme1n1p1,905851713,1980001,457,499116,2342,213,TRUE,,,,,,,2221,2375,2322,2391,2399,
1548447319258,t3.large,8,2,nvme1n1p1,905851713,1980001,457,331556,1427,232,TRUE,,,,,,,1465,1458,1433,1405,1374,
1548447322978,t3.large,8,2,nvme1n1p1,905851713,1980001,457,168392,733,230,TRUE,,,,,,,711,755,746,729,723,
1548456845866,t3.large,8,2,nvme1n1p1,4426419658,1980001,2235,1979491,21046,94,TRUE,,,,,,,21858,20776,20921,20916,20759,
1548456942053,t3.large,8,2,nvme1n1p1,4426419658,1980001,2235,1810533,19119,95,TRUE,,,,,,,19001,19277,18938,19169,19209,
1548457029939,t3.large,8,2,nvme1n1p1,4426419658,1980001,2235,1658707,17432,95,TRUE,,,,,,,17125,17660,17382,17300,17694,
1548457108733,t3.large,8,2,nvme1n1p1,4426419658,1980001,2235,1490323,15661,95,TRUE,,,,,,,15633,15629,15641,15828,15573,
1548457177809,t3.large,8,2,nvme1n1p1,4426419658,1980001,2235,1327404,13730,97,TRUE,,,,,,,13839,13230,14031,13916,13635,
1548457239335,t3.large,8,2,nvme1n1p1,4426419658,1980001,2235,1158843,12229,95,TRUE,,,,,,,11959,12004,12861,12406,11917,
1548457293046,t3.large,8,2,nvme1n1p1,4426419658,1980001,2235,996426,10659,93,TRUE,,,,,,,10654,10723,10624,10575,10717,
1548457337488,t3.large,8,2,nvme1n1p1,4426419658,1980001,2235,828481,8834,94,TRUE,,,,,,,8721,8582,9026,8710,9133,
1548457371668,t3.large,8,2,nvme1n1p1,4426419658,1980001,2235,660449,6790,97,TRUE,,,,,,,6868,6963,6550,6994,6576,
1548457397641,t3.large,8,2,nvme1n1p1,4426419658,1980001,2235,497854,5162,96,TRUE,,,,,,,5204,5172,5052,5449,4933,
1548457413965,t3.large,8,2,nvme1n1p1,4426419658,1980001,2235,330051,3242,102,TRUE,,,,,,,3256,3200,3590,3105,3059,
1548457420776,t3.large,8,2,nvme1n1p1,4426419658,1980001,2235,167611,1351,124,TRUE,,,,,,,1619,1374,1346,1219,1196,
1548497393545,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,1979949,12245,162,TRUE,,,,,,,13171,12436,11822,12810,10985,
1548497450180,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,1811879,11213,162,TRUE,,,,,,,10802,11384,11226,11323,11332,
1548497501270,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,1660004,10116,164,TRUE,,,,,,,10265,9886,10025,10210,10192,
1548497546048,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,1492301,8805,169,TRUE,,,,,,,9024,9080,8812,8919,8192,
1548497583393,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,1329699,7379,180,TRUE,,,,,,,7742,7106,7433,7108,7505,
1548497615647,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,1161294,6376,182,TRUE,,,,,,,6533,6436,6117,6587,6208,
1548497642782,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,997991,5363,186,TRUE,,,,,,,5277,5585,5145,5635,5175,
1548497665625,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,829542,4514,184,TRUE,,,,,,,4587,5033,4234,4387,4330,
1548497684419,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,661379,3716,178,TRUE,,,,,,,3953,3650,3615,3542,3819,
1548497697938,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,498976,2671,187,TRUE,,,,,,,2579,2624,2636,2588,2928,
1548497706886,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,330726,1767,187,TRUE,,,,,,,1693,1722,1813,1798,1810,
1548497711291,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,167954,870,193,TRUE,,,,,,,920,886,915,813,815,
1548502637103,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,5093,29,173,TRUE,,,,,,,35,28,25,32,27,
1548502637376,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,10542,54,197,TRUE,,,,,,,55,54,51,54,54,
1548502638036,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,26801,130,206,TRUE,,,,,,,144,125,126,129,125,
1548502639316,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,53803,252,214,TRUE,,,,,,,260,253,242,258,246,
1548502641246,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,81089,380,213,TRUE,,,,,,,394,382,379,381,365,
1548502644533,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,135144,648,209,TRUE,,,,,,,669,649,634,610,678,
1548502648770,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,162258,836,194,TRUE,,,,,,,755,772,1021,872,762,
1548502656915,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,325002,1606,202,TRUE,,,,,,,1559,1560,1665,1641,1607,
1548502669690,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,487792,2521,194,TRUE,,,,,,,2543,2837,2475,2348,2401,
1548502686880,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,650218,3394,192,TRUE,,,,,,,3235,3263,3629,3399,3445,
1548502708733,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,812999,4315,188,TRUE,,,,,,,4414,4361,4066,4116,4616,
1548502734079,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,975826,5002,195,TRUE,,,,,,,5088,4862,5239,4950,4872,
1548502764105,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,1139053,5915,193,TRUE,,,,,,,6176,6017,6265,5555,5563,
1548502797625,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,1302412,6603,197,TRUE,,,,,,,6782,6497,6710,6236,6790,
1548502837948,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,1464858,7970,184,TRUE,,,,,,,7631,8265,7651,8235,8066,
1548502882969,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,1627215,8897,183,TRUE,,,,,,,9346,8484,9068,9041,8544,
1548502932967,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,1790080,9880,181,TRUE,,,,,,,10010,10141,9396,9902,9950,
1548502983629,t3.large,8,2,nvme1n1p1,2666133334,1980001,1346,1952296,10003,195,TRUE,,,,,,,10016,10045,10339,9467,10148,
1548504548304,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,1456,214,7,TRUE,,,,,,,1028,11,11,10,10,
1548504551416,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,6787,621,11,TRUE,,,,,,,2979,35,31,31,31,
1548504558888,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,23289,1492,16,TRUE,,,,,,,7043,106,99,106,107,
1548504571522,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,50227,2523,20,TRUE,,,,,,,11680,223,205,284,222,
1548504583532,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,77298,2396,32,TRUE,,,,,,,10504,460,344,341,332,
1548504607738,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,131525,4832,27,TRUE,,,,,,,19376,1331,1206,1142,1104,
1548504623491,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,158722,3137,51,TRUE,,,,,,,9829,1516,1444,1430,1466,
1548504678127,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,322110,10903,30,TRUE,,,,,,,37920,4715,4066,4201,3615,
1548504728123,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,484848,9962,49,TRUE,,,,,,,25092,6564,5997,6151,6007,
1548504777914,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,647834,9912,65,TRUE,,,,,,,16449,9025,7941,7948,8199,
1548504830322,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,810726,10426,78,TRUE,,,,,,,12068,10165,10127,9752,10016,
1548504891443,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,973022,12157,80,TRUE,,,,,,,12806,12254,12106,11664,11957,
1548504962395,t3.large,8,2,nvme1n1p1,9707263733,1980001,4902,1135719,14114,80,TRUE,,,,,,,14476,14198,13994,13970,13933,
